2022-05-02,Spell: Abscond,5,89.4
2022-05-08,Spell: Acumen,23,116.3
2022-05-08,Spell: Aegis,6,344.2
2022-05-08,Spell: Aegis of Ro,16,73.1
2022-05-05,Spell: Aegolism,19,484.2
2022-05-05,Spell: Allure,13,792.3
2022-04-28,Spell: Animate Dead,7,27.9
2022-05-08,Spell: Arch Lich,32,1328.1
2022-04-18,Spell: Asphyxiate,1,1000
2022-04-22,Spell: Augment,1,500
2022-05-08,Spell: Augmentation of Death,18,1013.9
2022-04-26,Spell: Avatar,6,900
2022-05-07,Spell: Bandoleer of Luclin,67,49.7
2022-04-11,Spell: Bane of Nife,5,10800
2022-04-21,Spell: Banishment,2,99
2022-05-01,Spell: Banishment of Shadows,15,453.3
2022-04-13,Spell: Banshee Aura,1,15
2022-04-14,Spell: Bedlam,3,12666.7
2022-05-07,Spell: Berserker Strength,14,25.4
2022-05-02,Spell: Blanket of Forgetfulness,4,250
2022-05-08,Spell: Blast of Poison,29,52.4
2022-05-08,Spell: Blizzard,79,38.7
2022-05-08,Spell: Bond of Death,14,375
2022-04-09,Spell: Bonds of Tunare,1,500
2022-05-08,Spell: Boon of the Garou,16,200
2022-04-26,Spell: Breath of Karana,3,300
2022-04-29,Spell: Breeze,2,17.5
2022-05-03,Spell: Burnout IV,11,1527.3
2022-04-25,Spell: Cackling Bones,15,50
2022-05-07,Spell: Call of Bones,30,289.7
2022-04-26,Spell: Call of Earth,2,75
2022-05-08,Spell: Call of Fire,12,62.5
2022-05-02,Spell: Call of Karana,3,366
2022-04-25,Spell: Call of Sky,3,25
2022-04-25,Spell: Call of the Hero,14,23071.4
2022-05-05,Spell: Call of the Predator,16,131.9
2022-05-03,Spell: Cannibalize III,3,166.3
2022-05-05,Spell: Cannibalize IV,15,7033.3
2022-05-07,Spell: Celestial Healing,34,763.2
2022-04-14,Spell: Chill Bones,2,500
2022-05-06,Spell: Chilling Embrace,32,49.8
2022-05-04,Spell: Circle of Force,4,153.8
2022-05-08,Spell: Circle of Summer,36,360.4
2022-05-06,Spell: Circle of Wakening Lands,8,29.9
2022-05-05,Spell: Circle of Winter,20,262.5
2022-05-05,Spell: Clarity II,28,2021.4
2022-04-18,Spell: Cobalt Scar Portal,11,90.9
2022-05-05,Spell: Color Shift,19,23
2022-05-05,Spell: Color Skew,13,56.9
2022-05-05,Spell: Color Slant,11,313.6
2022-04-17,Spell: Common Gate,1,15
2022-05-08,Spell: Conjuration: Air,13,300
2022-05-06,Spell: Conjuration: Earth,1,350
2022-04-24,Spell: Conjure Corpse,3,633.3
2022-05-08,Spell: Convergence,9,350
2022-05-03,Spell: Cornucopia,2,100
2022-05-08,Spell: Corporeal Empathy,11,59.5
2022-05-07,Spell: Cripple,10,372.5
2022-05-05,Spell: Dead Man Floating,20,92.5
2022-04-22,Spell: Death Pact,17,49.4
2022-04-28,Spell: Death Peace,5,120
2022-04-28,Spell: Defoliation,17,147.1
2022-05-08,Spell: Dementia,21,232.1
2022-05-03,Spell: Demi Lich,5,11800
2022-04-24,Spell: Devouring Darkness,21,2071.4
2022-05-02,Spell: Dictate,1,6000
2022-05-05,Spell: Disempower,8,11.2
2022-04-29,Spell: Disintegrate,30,770.9
2022-04-14,Spell: Divine Intervention,1,1500
2022-05-02,Spell: Divine Purpose,4,35
2022-05-08,Spell: Divine Strength,6,45
2022-04-09,Spell: Draught of Jiva,1,400
2022-05-08,Spell: Elemental Maelstrom,30,46.2
2022-05-01,Spell: Emissary of Thule,8,22625
2022-05-07,Spell: Endure Magic,2,10
2022-05-08,Spell: Enforced Reverence,4,127.5
2022-05-03,Spell: Enlightenment,19,515.8
2022-05-02,Spell: Enslave Death,7,985.7
2022-05-08,Spell: Enticement of Flame,34,99.1
2022-04-14,Spell: Entrapping Roots,2,251.5
2022-05-08,Spell: Evacuate,15,434.7
2022-04-18,Spell: Everfount,2,100
2022-05-07,Spell: Feedback,46,142.1
2022-05-07,Spell: Fixation of Ro,18,57.8
2022-05-04,Spell: Flame of Light,20,82
2022-05-08,Spell: Flaming Sword of Xuzl,1,60
2022-05-01,Spell: Focus of Spirit,12,516.7
2022-04-20,Spell: Forlorn Deeds,1,3000
2022-05-07,Spell: Form of the Great Bear,8,2375
2022-05-07,Spell: Form of the Howler,6,71.7
2022-05-04,Spell: Form of the Hunter,7,4714.3
2022-05-07,Spell: Gift of Brilliance,15,1580
2022-04-23,Spell: Gift of Insight,3,383.3
2022-05-06,Spell: Gift of Pure Thought,10,7500
2022-05-08,Spell: Gift of Xev,5,56
2022-05-08,Spell: Girdle of Karana,11,586.4
2022-05-01,Spell: Gravity Flux,6,34.2
2022-04-20,Spell: Great Divide Portal,4,26.2
2022-05-08,Spell: Greater Conjuration: Air,20,772
2022-05-08,Spell: Greater Conjuration: Fire,15,686.7
2022-04-19,Spell: Greater Conjuration: Water,9,788.9
2022-05-06,Spell: Greater Summoning: Earth,1,100
2022-05-01,Spell: Greater Summoning: Water,1,100
2022-05-08,Spell: Greater Vocaration: Air,4,675
2022-05-08,Spell: Greater Vocaration: Fire,28,451.8
2022-05-07,Spell: Greater Vocaration: Water,21,6366.7
2022-05-07,Spell: Harmshield,26,50.2
2022-05-07,Spell: Haunting Corpse,31,115.5
2022-05-06,Spell: Heroic Bond,34,66.2
2022-05-07,Spell: Hungry Earth,9,37.8
2022-05-07,Spell: Ice Spear of Solist,32,329.7
2022-05-08,Spell: Improved Invisibility,16,137.5
2022-05-02,Spell: Insidious Decay,6,108.3
2022-05-05,Spell: Insipid Weakness,30,38.3
2022-05-08,Spell: Intensify Death,33,93.3
2022-04-21,Spell: Invert Gravity,1,100
2022-04-30,Spell: Invisibility to Undead,3,91.7
2022-05-08,Spell: Invoke Death,12,408.3
2022-05-08,Spell: Invoke Fear,2,30
2022-05-08,Spell: Invoke Shadow,58,149.1
2022-05-01,Spell: Legacy of Thorn,4,537.5
2022-05-06,Spell: Lesser Conjuration: Earth,1,250
2022-05-01,Spell: Levant,4,3000
2022-05-07,Spell: Levitate,5,9.6
2022-05-08,Spell: Lich,19,162.4
2022-05-05,Spell: Lure of Ice,4,762.5
2022-04-16,Spell: Mala,1,100
2022-04-28,Spell: Malignant Dead,17,46.8
2022-05-07,Spell: Malo,1,30000
2022-05-08,Spell: Mana Sieve,15,200
2022-05-08,Spell: Manasink,6,43.3
2022-05-08,Spell: Manastorm,9,355.6
2022-05-06,Spell: Mark of Karn,4,2200
2022-05-05,Spell: Mask of the Hunter,7,15285.7
2022-05-07,Spell: Mesmerization,13,31.2
2022-04-15,Spell: Mind Wipe,2,75
2022-05-02,Spell: Minion of Shadows,7,1042.3
2022-04-20,Spell: Minor Conjuration: Air,2,125
2022-05-06,Spell: Minor Conjuration: Fire,12,145.8
2022-05-05,Spell: Monster Summoning II,26,64.4
2022-05-08,Spell: Monster Summoning III,14,425
2022-04-22,Spell: Muzzle of Mardu,1,12000
2022-05-06,Spell: Naltron's Mark,5,600
2022-05-08,Spell: Nature Walkers Behest,19,1442.1
2022-05-06,Spell: Nullify Magic,22,19.5
2022-05-06,Spell: Paralyzing Earth,7,32.9
2022-05-08,Spell: Pillage Enchantment,9,93.3
2022-04-24,Spell: Pillar of Fire,8,20.6
2022-04-21,Spell: Pillar of Flame,3,466.7
2022-05-08,Spell: Pillar of Frost,35,70.1
2022-05-07,Spell: Pillar of Lightning,37,49.3
2022-05-06,Spell: Pox of Bertoxxulous,19,15842.1
2022-05-08,Spell: Protection of the Glades,36,1219.4
2022-05-08,Spell: Quiver of Marr,15,51.7
2022-05-08,Spell: Quivering Veil of Xarn,2,775
2022-05-02,Spell: Rage of Zomm,1,99
2022-05-02,Spell: Recant Magic,9,127.8
2022-05-07,Spell: Reckoning,14,48.1
2022-05-08,Spell: Regrowth of the Grove,13,435.8
2022-05-08,Spell: Renew Bones,31,112.3
2022-05-03,Spell: Reoccurring Amnesia,6,43.3
2022-04-30,Spell: Restless Bones,1,15
2022-04-26,Spell: Ro's Fiery Sundering,4,43.8
2022-05-08,Spell: Scars of Sigil,34,56.9
2022-05-02,Spell: Scent of Terris,1,150
2022-05-02,Spell: Scintillation,5,87.4
2022-04-14,Spell: Sedulous Subversion,3,2333.3
2022-05-04,Spell: Servant of Bones,2,3000
2022-05-06,Spell: Shadowbond,4,162.5
2022-05-07,Spell: Shiftless Deeds,33,83.3
2022-05-01,Spell: Shock of the Tainted,3,43.3
2022-05-08,Spell: Shroud of Death,6,47.5
2022-05-07,Spell: Shroud of Hate,5,36
2022-05-01,Spell: Shroud of Pain,18,81.4
2022-04-24,Spell: Shroud of the Spirits,2,125
2022-05-02,Spell: Spirit Quickening,2,100
2022-05-08,Spell: Spirit of Scale,19,160.8
2022-05-08,Spell: Splurt,35,402
2022-05-02,Spell: Strip Enchantment,16,28.1
2022-05-08,Spell: Stun Command,5,262
2022-05-06,Spell: Succor,6,408.3
2022-05-07,Spell: Summon Corpse,31,375.8
2022-05-07,Spell: Summon Dead,54,85.4
2022-05-06,Spell: Summon Shard of the Core,22,39.1
2022-05-01,Spell: Summoning: Air,1,50
2022-05-01,Spell: Summoning: Fire,1,75
2022-05-02,Spell: Sunskin,4,99
2022-05-05,Spell: Surge of Enfeeblement,16,31.6
2022-05-08,Spell: Talisman of Jasinth,19,90
2022-05-02,Spell: Talisman of Shadoo,2,175
2022-04-14,Spell: Talisman of the Brute,1,300
2022-05-06,Spell: Talisman of the Cat,3,283.3
2022-04-24,Spell: Talisman of the Rhino,3,416.7
2022-05-08,Spell: Tears of Druzzil,18,47.2
2022-05-02,Spell: Tears of Solusek,4,81
2022-05-02,Spell: Tepid Deeds,16,41.2
2022-04-21,Spell: The Unspoken Word,4,262.5
2022-05-08,Spell: Theft of Thought,25,449
2022-05-06,Spell: Thrall of Bones,11,100
2022-05-02,Spell: Thunderbold,5,74.8
