2023-03-09,Spell: Abscond,3,400
2023-03-01,Spell: Acumen,12,37.5
2023-02-21,Spell: Aegis,8,41.9
2023-03-09,Spell: Aegis of Ro,13,42.3
2023-03-10,Spell: Aegolism,63,148
2023-03-10,Spell: Allure,63,812.3
2023-02-19,Spell: Animate Dead,3,20.7
2023-02-20,Spell: Annul Magic,4,22.5
2023-03-07,Spell: Arch Lich,25,286
2023-02-28,Spell: Asphyxiate,3,300
2023-03-09,Spell: Augment,59,174.9
2023-03-03,Spell: Augmentation of Death,4,875
2023-03-03,Spell: Avatar,6,516.7
2023-03-09,Spell: Bandoleer of Luclin,41,33.3
2023-03-09,Spell: Bane of Nife,10,9700
2023-03-09,Spell: Banishment,7,34.3
2023-02-09,Spell: Banishment of Shadows,1,300
2023-03-06,Spell: Banshee Aura,5,18
2023-03-06,Spell: Bedlam,6,8083.3
2023-03-09,Spell: Berserker Strength,15,31
2023-03-07,Spell: Blanket of Forgetfulness,19,476.3
2023-03-09,Spell: Blast of Poison,23,52.6
2023-03-09,Spell: Blizzard,40,44.2
2023-03-09,Spell: Bond of Death,47,558.5
2023-02-28,Spell: Bonds of Tunare,8,200
2023-03-03,Spell: Boon of Immolation,5,77
2023-03-09,Spell: Boon of the Clear Mind,25,199.8
2023-03-09,Spell: Boon of the Garou,20,165.9
2023-03-09,Spell: Breath of Karana,21,163.1
2023-02-15,Spell: Breeze,2,27.5
2023-02-24,Spell: Burnout IV,2,1500
2023-03-06,Spell: Cackling Bones,23,49.3
2023-03-10,Spell: Call of Bones,54,259.4
2023-03-10,Spell: Call of Earth,14,43.6
2023-02-27,Spell: Call of Fire,6,45.8
2023-03-07,Spell: Call of Karana,19,1544.7
2023-03-02,Spell: Call of Sky,9,73.3
2023-03-10,Spell: Call of the Hero,96,3245.3
2023-02-27,Spell: Call of the Predator,8,65.6
2023-03-09,Spell: Cannibalize III,18,77.8
2023-03-10,Spell: Cannibalize IV,55,2109.1
2023-03-08,Spell: Celestial Healing,21,247.6
2023-03-08,Spell: Chill Bones,6,316.7
2023-03-08,Spell: Chilling Embrace,28,60.4
2023-03-07,Spell: Circle of Force,5,158
2023-03-08,Spell: Circle of Summer,4,181.2
2023-03-04,Spell: Circle of Wakening Lands,5,43
2023-03-01,Spell: Circle of Winter,12,168.8
2023-03-09,Spell: Clarity II,77,1697.4
2023-02-19,Spell: Cobalt Scar Portal,2,75
2023-03-09,Spell: Color Shift,14,22.9
2023-03-09,Spell: Color Skew,71,82.5
2023-03-07,Spell: Color Slant,12,145
2023-02-26,Spell: Column of Lightning,1,50
2023-03-08,Spell: Conjuration: Air,20,400
2023-03-08,Spell: Conjuration: Earth,21,545.2
2023-03-08,Spell: Conjuration: Water,21,590.5
2023-03-05,Spell: Conjure Corpse,9,135.6
2023-03-09,Spell: Convergence,11,164.1
2023-03-08,Spell: Cornucopia,21,97.6
2023-03-02,Spell: Corporeal Empathy,16,48.8
2023-03-09,Spell: Cripple,10,144
2023-03-09,Spell: Dead Man Floating,77,122.6
2023-03-08,Spell: Dead Men Floating,10,2950
2023-03-07,Spell: Death Pact,12,48.3
2023-03-10,Spell: Death Peace,36,54.7
2023-03-07,Spell: Defoliation,2,75
2023-03-05,Spell: Dementia,19,121.1
2023-03-09,Spell: Demi Lich,31,7254.8
2023-03-09,Spell: Devouring Darkness,11,1000
2023-03-08,Spell: Dictate,11,20000
2023-02-27,Spell: Disempower,2,12.5
2023-03-09,Spell: Disintegrate,6,100
2023-03-09,Spell: Divine Intervention,14,325
