2024-04-01,Spell: Abscond,2,125
2024-04-08,Spell: Acumen,325,127
2024-04-08,Spell: Aegis,197,154
2024-04-09,Spell: Aegis of Ro,431,95
2024-04-09,Spell: Aegolism,314,125
2024-04-05,Spell: Allure,168,650
2024-04-07,Spell: Animate Dead,45,0
2023-11-08,Spell: Annul Magic,0,0
2023-08-16,Spell: Antidote,0,0
2024-04-09,Spell: Arch Lich,575,525
2023-10-23,Spell: Armor of Protection,0,0
2024-04-09,Spell: Asphyxiate,284,208
2024-04-09,Spell: Atol`s Spectral Shackles,410,62
2024-04-08,Spell: Augment,283,200
2024-04-09,Spell: Augmentation of Death,120,967
2024-04-08,Spell: Avatar,156,437
2024-04-09,Spell: Bandoleer of Luclin,1707,50
2024-03-21,Spell: Bane of Nife,6,13000
2023-08-16,Spell: Banish Summoned,0,0
2024-03-16,Spell: Banish Undead,1,0
2024-04-09,Spell: Banishment,323,120
2024-03-29,Spell: Banishment of Shadows,135,0
2024-04-05,Spell: Banshee Aura,2,0
2024-03-27,Spell: Bedlam,2,12000
2024-02-29,Spell: Beguile,0,0
2024-04-09,Spell: Berserker Strength,464,23
2024-04-09,Spell: Blanket of Forgetfulness,588,589
2024-04-09,Spell: Blast of Poison,202,50
2024-04-09,Spell: Blizzard,688,54
2023-09-24,Spell: Bobbing Corpse,0,0
2023-04-11,Spell: Boltran`s Animation,0,0
2024-04-09,Spell: Bond of Death,247,483
2024-04-05,Spell: Bonds of Tunare,9,0
2024-04-08,Spell: Boon of Immolation,207,49
2024-04-09,Spell: Boon of the Clear Mind,271,179
2024-04-09,Spell: Boon of the Garou,288,198
2024-04-08,Spell: Breath of Karana,227,183
2023-05-05,Spell: Breath of Ro,0,0
2024-02-18,Spell: Breath of the Dead,0,0
2024-04-07,Spell: Breeze,10,42
2024-04-09,Spell: Bristlebane`s Bundle,460,103
2023-08-19,Spell: Bulwark of Faith,0,0
2024-04-08,Spell: Burnout IV,33,1000
2024-04-09,Spell: Cackling Bones,382,65
2023-01-08,Spell: Cadeau of Flame,0,0
2024-04-08,Spell: Call of Bones,499,238
2024-03-31,Spell: Call of Earth,38,250
2024-04-07,Spell: Call of Fire,41,102
2024-04-03,Spell: Call of Flame,33,3000
2024-04-09,Spell: Call of Karana,416,1147
2024-04-06,Spell: Call of Sky,56,50
2024-04-09,Spell: Call of the Hero,538,1451
2024-04-08,Spell: Call of the Predator,221,50
2022-12-31,Spell: Cannibalize II,0,0
2024-04-08,Spell: Cannibalize III,358,89
2024-04-09,Spell: Cannibalize IV,237,773
2024-04-09,Spell: Cast Force,274,37
2024-04-07,Spell: Celerity,33,0
2023-10-23,Spell: Celestial Elixir,0,0
2024-04-09,Spell: Celestial Healing,546,186
2023-12-24,Spell: Cessation of Cor,0,0
2023-01-21,Spell: Charm Animals,0,0
2024-04-08,Spell: Chill Bones,397,402
2024-04-09,Spell: Chilling Embrace,228,51
2023-12-10,Spell: Chloroplast,0,0
2024-04-02,Spell: Circle of Cobalt Scar,10,0
2024-04-09,Spell: Circle of Force,549,192
2024-04-09,Spell: Circle of Great Divide,126,0
2024-04-08,Spell: Circle of Summer,35,141
2023-04-10,Spell: Circle of Surefall Glade,0,0
2024-04-09,Spell: Circle of Wakening Lands,146,55
2024-04-09,Spell: Circle of Winter,59,195
2024-03-10,Spell: Clarity,1,2
2024-04-09,Spell: Clarity II,369,1034
2024-04-09,Spell: Cobalt Scar Portal,52,62
2024-02-12,Spell: Collaboration,0,0
2024-04-08,Spell: Color Shift,673,25
2024-04-09,Spell: Color Skew,617,74
2024-04-09,Spell: Color Slant,84,147
2024-04-06,Spell: Column of Lightning,324,50
2023-03-02,Spell: Common Portal,0,0
2023-07-27,Spell: Companion Spirit,0,0
2024-04-01,Spell: Conjuration: Air,89,400
2024-04-01,Spell: Conjuration: Earth,70,0
2023-08-07,Spell: Conjuration: Fire,0,0
2024-03-30,Spell: Conjuration: Water,15,0
2024-04-08,Spell: Conjure Corpse,308,236
2024-04-08,Spell: Convergence,124,137
2023-06-17,Spell: Convoke Shadow,0,0
2024-04-09,Spell: Cornucopia,91,100
2024-04-09,Spell: Corporeal Empathy,200,49
2024-04-09,Spell: Cripple,72,128
2023-09-18,Spell: Crystallize Mana,0,0
2024-04-09,Spell: Dead Man Floating,714,51
2024-04-09,Spell: Dead Men Floating,133,1772
2024-04-09,Spell: Death Pact,436,50
2024-04-09,Spell: Death Peace,303,45
2024-02-19,Spell: Deflux,0,0
2024-04-08,Spell: Defoliation,39,60
2024-04-08,Spell: Dementia,98,97
2024-04-07,Spell: Demi Lich,360,9000
2024-04-07,Spell: Devouring Darkness,57,0
2023-07-18,Spell: Diamondskin,0,0
2024-04-08,Spell: Dictate,138,0
2024-03-11,Spell: Discordant Mind,5,0
2024-04-08,Spell: Disempower,8,0
2024-04-07,Spell: Disintegrate,107,100
2022-12-27,Spell: Divine Favor,0,0
2024-04-08,Spell: Divine Intervention,268,72
2024-04-07,Spell: Divine Might,115,5745
2024-04-07,Spell: Divine Purpose,44,0
2024-04-09,Spell: Divine Strength,224,79
2023-07-17,Spell: Dooming Darkness,0,0
2024-04-07,Spell: Draught of Jiva,421,56
2024-04-04,Spell: Dread of Night,3,0
2022-11-30,Spell: Dyn`s Dizzying Draught,0,0
2024-04-09,Spell: Dyzil`s Deafening Decoy,298,238
2024-04-09,Spell: Egress,323,680
2024-04-09,Spell: Elemental Maelstrom,371,49
2023-03-11,Spell: Elementalkin: Earth,0,0
2024-04-04,Spell: Emissary of Thule,11,0
2024-04-05,Spell: Endure Magic,5,5
2024-04-04,Spell: Energy Storm,4,25
2024-04-08,Spell: Enforced Reverence,307,94
2023-04-03,Spell: Engulfing Darkness,0,0
2024-04-08,Spell: Enlightenment,454,101
2024-04-09,Spell: Enslave Death,156,279
2024-04-09,Spell: Enticement of Flame,348,51
2024-04-08,Spell: Entrapping Roots,139,150
2023-09-01,Spell: Envenomed Bolt,0,0
2024-04-09,Spell: Evacuate,288,123
2023-06-03,Spell: Evacuate: Fay,0,0
2023-10-28,Spell: Evacuate: Ro,0,0
2024-04-09,Spell: Everfount,120,100
2024-01-07,Spell: Exile Summoned,0,0
2024-04-05,Spell: Exile Undead,21,150
2024-02-25,Spell: Expedience,0,0
2024-04-07,Spell: Extinguish Fatigue,55,89
2024-04-08,Spell: Eye of Tallon,12,100
2023-10-17,Spell: Fascination,0,0
2024-04-08,Spell: Feedback,177,197
2023-09-05,Spell: Feign Death,0,0
2024-03-12,Spell: Fire Spiral of Al'Kabor,3,0
2024-04-07,Spell: Fist of Karana,45,9000
2024-04-09,Spell: Fixation of Ro,126,41
2024-04-09,Spell: Flame of Light,350,50
2024-04-07,Spell: Flaming Sword of Xuzl,22,50
2024-04-09,Spell: Focus of Spirit,231,68
2023-09-28,Spell: Force Spiral of Al'Kabor,0,0
2024-02-12,Spell: Force Strike,0,0
2024-04-08,Spell: Forlorn Deeds,59,6539
2024-04-09,Spell: Form of the Great Bear,201,640
2024-04-08,Spell: Form of the Howler,144,157
2024-04-09,Spell: Form of the Hunter,265,1443
2024-04-06,Spell: Fortitude,45,282
2023-06-17,Spell: Frenzied Spirit,0,0
2024-04-09,Spell: Frost,23,0
2023-03-05,Spell: Fury of Air,0,0
2024-04-08,Spell: Gangrenous Touch of Zum`uul,163,29550
2024-04-09,Spell: Gift of Brilliance,96,521
2024-04-05,Spell: Gift of Insight,179,661
2023-07-10,Spell: Gift of Magic,0,0
2024-04-09,Spell: Gift of Pure Thought,235,9956
