2022-12-06,Spell: Abscond,2,95
2022-12-10,Spell: Acumen,41,57.2
2022-12-03,Spell: Aegis,5,73
2022-12-07,Spell: Aegis of Ro,3,48.3
2022-12-10,Spell: Aegolism,36,252.8
2022-12-09,Spell: Allure,21,802.4
2022-12-09,Spell: Animate Dead,15,29.3
2022-12-10,Spell: Arch Lich,80,605
2022-12-05,Spell: Asphyxiate,5,260
2022-12-09,Spell: Augment,24,212.5
2022-12-09,Spell: Augmentation of Death,14,1132.1
2022-11-12,Spell: Avatar,1,800
2022-12-09,Spell: Bandoleer of Luclin,18,45.3
2022-12-09,Spell: Bane of Nife,7,10714.3
2022-11-22,Spell: Banishment,1,400
2022-12-08,Spell: Banishment of Shadows,3,233.3
2022-12-09,Spell: Bedlam,10,9400
2022-12-09,Spell: Berserker Strength,12,27.9
2022-11-27,Spell: Blanket of Forgetfulness,4,252.5
2022-12-10,Spell: Blast of Poison,28,53.4
2022-12-08,Spell: Blizzard,22,34.1
2022-11-30,Spell: Bond of Death,7,564.3
2022-12-03,Spell: Bonds of Tunare,10,295
2022-12-07,Spell: Boon of Immolation,9,57.8
2022-12-01,Spell: Boon of the Clear Mind,4,150
2022-12-08,Spell: Boon of the Garou,13,115.4
2022-12-10,Spell: Breath of Karana,44,209.8
2022-11-13,Spell: Breath of the Dead,2,12.5
2022-12-10,Spell: Burnout IV,8,1712.5
2022-12-09,Spell: Cackling Bones,20,50
2022-12-10,Spell: Call of Bones,61,267.4
2022-12-04,Spell: Call of Earth,8,65
2022-12-07,Spell: Call of Fire,2,35
2022-12-09,Spell: Call of Karana,1,8000
2022-12-10,Spell: Call of Sky,18,240.5
2022-12-10,Spell: Call of the Hero,52,6574
2022-12-08,Spell: Call of the Predator,15,53.3
2022-12-09,Spell: Cannibalize III,24,83.5
2022-12-10,Spell: Cannibalize IV,13,3338.5
2022-12-07,Spell: Cast Force,3,25
2022-11-27,Spell: Celestial Elixir,1,50
2022-12-10,Spell: Celestial Healing,92,366.5
2022-12-10,Spell: Chill Bones,7,307.1
2022-12-09,Spell: Chilling Embrace,4,60
