2023-06-25,Spell: Aegolism,7362,231
2023-06-25,Spell: Boon of Immolation,656,79
2023-06-25,Spell: Boon of the Garou,4651,126
2023-06-25,Spell: Call of the Hero,19243,7103
2023-06-25,Spell: Cannibalize III,5966,99
2023-06-25,Spell: Cannibalize IV,5603,3400
2023-06-22,Spell: Cripple,2317,230
2023-06-24,Spell: Death Peace,4898,76
2023-06-25,Spell: Elemental Maelstrom,5113,52
2023-06-25,Spell: Enticement of Flame,9712,59
2023-06-25,Spell: Focus of Spirit,4181,233
2023-06-22,Spell: Form of the Great Bear,3504,1269
2023-06-24,Spell: Improved Superior Camo,3313,1116
2023-06-25,Spell: Lesser Conjuration: Earth,1648,281
2023-02-21,Spell: Life Leech,137,8000
2023-06-25,Spell: Minion of Shadows,2014,1124
2023-06-18,Spell: Scintillation,712,82
2023-06-25,Spell: Spirit of Scale,3295,121
2023-06-25,Spell: Talisman of Jasinth,3493,91
2023-06-25,Spell: Thrall of Bones,3539,148
2023-06-25,Spell: Turning of the Unnatural,2178,57
2023-06-25,Spell: Vocarate: Air,1145,180
2023-06-24,Spell: Vocarate: Fire,980,91
