2024-12-14,Spell: Aanya`s Animation,0,0
2025-09-22,Spell: Abolish Poison,12,0
2025-10-25,Spell: Abscond,76,186
2025-10-25,Spell: Acumen,135,231
2025-10-25,Spell: Aegis,62,230
2025-10-25,Spell: Aegis of Ro,228,100
2025-10-25,Spell: Aegolism,69,338
2025-10-24,Spell: Allure,487,696
2025-10-18,Spell: Animate Dead,64,24
2024-10-30,Spell: Annul Magic,0,0
2025-08-04,Spell: Antidote,0,0
2025-10-25,Spell: Arch Lich,183,185
2025-10-18,Spell: Arch Shielding,0,0
2025-05-21,Spell: Armor of Protection,0,0
2025-10-25,Spell: Asphyxiate,6,0
2025-01-23,Spell: Assiduous Vision,0,0
2025-10-25,Spell: Atol`s Spectral Shackles,128,55
2025-10-25,Spell: Augment,190,186
2025-10-24,Spell: Augmentation of Death,88,993
2025-10-25,Spell: Avatar,143,0
2025-10-25,Spell: Bandoleer of Luclin,470,49
2025-10-25,Spell: Bane of Nife,52,20000
2023-06-06,Spell: Banish Summoned,0,0
2025-09-14,Spell: Banish Undead,12,0
2025-10-25,Spell: Banishment,58,0
2025-10-11,Spell: Banishment of Shadows,0,0
2025-10-18,Spell: Banshee Aura,11,15
2025-10-24,Spell: Bedlam,243,11531
2024-02-29,Spell: Beguile,0,0
2025-10-25,Spell: Beguile Undead,0,0
2024-08-09,Spell: Berserker Spirit,0,0
2025-10-26,Spell: Berserker Strength,361,15
2025-07-12,Spell: Bind Affinity,0,0
2024-12-05,Spell: Bind Sight,0,0
2025-10-26,Spell: Blanket of Forgetfulness,529,495
2025-10-26,Spell: Blast of Poison,208,49
2025-10-25,Spell: Blizzard,423,50
2023-07-10,Spell: Bobbing Corpse,0,0
2025-09-10,Spell: Boil Blood,18,0
2025-02-06,Spell: Boltran`s Agacerie,0,0
2025-10-25,Spell: Bond of Death,541,494
2025-10-22,Spell: Bonds of Tunare,44,376
2025-10-25,Spell: Boon of Immolation,87,50
2025-10-25,Spell: Boon of the Clear Mind,80,158
2025-10-25,Spell: Boon of the Garou,96,82
2025-10-24,Spell: Breath of Karana,162,235
2025-08-23,Spell: Breath of Ro,0,0
2025-10-25,Spell: Breath of the Dead,4,25
2025-10-22,Spell: Breeze,1,50
2025-10-25,Spell: Bristlebane`s Bundle,122,50
2025-09-07,Spell: Bulwark of Faith,1,0
2025-10-25,Spell: Burnout IV,36,1000
2025-10-22,Spell: Cackling Bones,35,43
2024-04-14,Spell: Cajole Undead,0,0
2025-10-26,Spell: Call of Bones,189,278
2025-10-23,Spell: Call of Earth,39,196
2025-10-24,Spell: Call of Fire,8,200
2025-07-08,Spell: Call of Flame,0,0
2025-10-25,Spell: Call of Karana,142,808
2025-10-25,Spell: Call of Sky,37,50
2025-10-26,Spell: Call of the Hero,325,764
2025-10-25,Spell: Call of the Predator,156,67
2025-07-14,Spell: Cannibalize,0,0
2025-10-25,Spell: Cannibalize III,260,88
2025-10-25,Spell: Cannibalize IV,122,482
2025-07-12,Spell: Cascade of Hail,0,0
2025-10-21,Spell: Cascading Darkness,0,0
2025-08-27,Spell: Cast Force,0,0
2024-05-20,Spell: Celerity,0,0
2024-08-31,Spell: Celestial Elixir,0,0
2025-10-25,Spell: Celestial Healing,367,159
2025-09-01,Spell: Cessation of Cor,0,0
2025-10-25,Spell: Chill Bones,237,472
2025-10-25,Spell: Chilling Embrace,452,50
2025-10-02,Spell: Chloroblast,1,0
2024-12-22,Spell: Chloroplast,0,0
2025-09-30,Spell: Circle of Cobalt Scar,12,25
2025-10-24,Spell: Circle of Force,160,179
2025-10-12,Spell: Circle of Great Divide,43,50
2024-12-22,Spell: Circle of Iceclad,0,0
2025-10-25,Spell: Circle of Summer,176,178
2025-10-20,Spell: Circle of Wakening Lands,133,21
2025-10-25,Spell: Circle of Winter,159,200
